,id,text,date,retweets,favorites,mentions,hashtags,geo,region
0,1300133985427873801,Project power on Netflix so good ,2020-08-30 18:11:12+00:00,0,2,,,,college_sation_bryan
1,1300115427251621889,All my leggings and pants now have rips in the thighs so now I gotta buy all new bottoms,2020-08-30 16:57:27+00:00,0,1,,,,college_sation_bryan
2,1300112340529090560,Love you corrwy,2020-08-30 16:45:11+00:00,0,1,,,,college_sation_bryan
3,1300108208279871489,It’s an online class so you workout wherever,2020-08-30 16:28:46+00:00,0,0,,,,college_sation_bryan
4,1300107810718576640,He wants me to have an asthma attack is what it is out here in 90+ degree heat,2020-08-30 16:27:11+00:00,0,0,,,,college_sation_bryan
5,1300106711370477569,This man know I’m back new to working out... a mile and a half in under 30 is pushing my fat ass ,2020-08-30 16:22:49+00:00,0,0,,,,college_sation_bryan
6,1300088721551876096,When I come back ima just stay away from all yall y’all wildin,2020-08-30 15:11:20+00:00,0,1,,,,college_sation_bryan
7,1300088501241810944,Like a mf,2020-08-30 15:10:27+00:00,0,0,,,,college_sation_bryan
0,1300453356213764096,Close and listen by Marvin Sapp >>>>,2020-08-31 15:20:16+00:00,0,0,,,,college_sation_bryan
1,1300437005822722063,Finaaaaallly somebody said it half the ppl talking be drunk eating it so their opinions are invalid ,2020-08-31 14:15:17+00:00,1,1,,,,college_sation_bryan
2,1300436737383190529,Hy That shit mid too ,2020-08-31 14:14:13+00:00,0,0,,,,college_sation_bryan
3,1300433490954117124,"Born, raised and still here love ",2020-08-31 14:01:19+00:00,0,0,,,,college_sation_bryan
4,1300424031661850626,The EVO just hit 40k miles.. ,2020-08-31 13:23:44+00:00,0,1,,,,college_sation_bryan
5,1300283525585874944,Ima stay rightchea that shit is my final resort every time,2020-08-31 04:05:25+00:00,0,1,,,,college_sation_bryan
6,1300283270022737920,getting my “groove” back feels so weird I was used to doing everything w/ one person for the longest but I like it to say the least,2020-08-31 04:04:24+00:00,0,1,,,,college_sation_bryan
7,1300277288467136513,"I often think what life would be like if I didn’t meet certain ppl, and would I be happier.",2020-08-31 03:40:38+00:00,0,0,,,,college_sation_bryan
8,1300275658317328386,"threads, pictures even gifts...gone now ",2020-08-31 03:34:09+00:00,0,0,,,,college_sation_bryan
9,1300272457471926272,See I was gone come back to Huntsville for him but he wanna be ungrateful ,2020-08-31 03:21:26+00:00,0,0,,,,college_sation_bryan
10,1300269966500024322,"Can’t no nigga I fw heavy ever say I wasn’t solid, period.",2020-08-31 03:11:32+00:00,1,1,,,,college_sation_bryan
