,id,text,date,retweets,favorites,mentions,hashtags,geo,region
0,1300221573908103169,Your not honest in this. Be better.,2020-08-30 23:59:14+00:00,0,4,,,,Eagle Pass
1,1300217044453949440,Recuerda por tu salud y de los k más quieres... Recuerda siempre utilizar tu cubrebocas y sana distancia.,2020-08-30 23:41:14+00:00,0,0,,,,Eagle Pass
2,1300212361127550978,"((VIVO)) TeleZócalo Nocturno con Siboney Alvarado y Edmundo Garza Lara / Centro de mensajes: 878 1 22 22 22/ Línea en el estudio: 78 22 815 / Escúchenos también en la 94.5FM, 107.9FM y en la 92.9FM en Ciudad Acuña",2020-08-30 23:22:38+00:00,0,1,,,,Eagle Pass
3,1300210030927654913,I subscribe to the Ernest Tubb school of singing.,2020-08-30 23:13:22+00:00,0,4,,,,Eagle Pass
4,1300207470556729347,A huevo,2020-08-30 23:03:12+00:00,0,1,,,,Eagle Pass
5,1300207296396627968, ,2020-08-30 23:02:30+00:00,0,1,,,,Eagle Pass
6,1300194252157190144,#CobraKai lo tiene todo!,2020-08-30 22:10:40+00:00,0,1,,#CobraKai,,Eagle Pass
7,1300194082560634881,"Feliz cumpleaños Nico Jr. un abrazo y mis mejores deseos, Saludos @nicomoyeda y Familia",2020-08-30 22:10:00+00:00,0,1,@nicomoyeda,,,Eagle Pass
8,1300186319377911811,"A un costado De la Iglesia de los mormones que está en el centro u venden cuchillos, ollas y más",2020-08-30 21:39:09+00:00,0,1,,,,Eagle Pass
9,1300183304826740742,Es por la calle Cuauhtémoc esquina con mina en el centro,2020-08-30 21:27:10+00:00,0,1,,,,Eagle Pass
10,1300175874352975880,"Se me hace muy injusto cuando la gente pone en duda la amistad de alguien por no apoyarlo o estar en una situación que ellos mismo ocultaron. Yo creo que un amigo, cuando sabe que es lo que te está pasando, hace algo por ti. Pleno 2020 y la gente piensa que se pueden leer mentes.",2020-08-30 20:57:39+00:00,0,9,,,,Eagle Pass
11,1300172855473307648,my love @GoliRodriguez,2020-08-30 20:45:39+00:00,0,1,@GoliRodriguez,,,Eagle Pass
12,1300172605908017152,"@dipypapa Mi Perri sigo prendido a la #dipyfest, trae Secuela ?!?¡",2020-08-30 20:44:39+00:00,0,2,@dipypapa,#dipyfest,,Eagle Pass
13,1300171184328175616,El calor! – at Barrokas,2020-08-30 20:39:01+00:00,0,11,,,,Eagle Pass
14,1300169988205088770,"Justo es lo que estaba pensando, el problema es eso, que saldrá alguien “colaborando” con el ahahha",2020-08-30 20:34:15+00:00,0,2,,,,Eagle Pass
15,1300168961917681664,Heeeeyyy dime a cuál vas! Yo necesito cosas tipo vintage ahhaha,2020-08-30 20:30:11+00:00,0,1,,,,Eagle Pass
16,1300165982904815617,just received the cutest gift basket ,2020-08-30 20:18:20+00:00,0,0,,,,Eagle Pass
17,1300164391669825536,Ohh shit ,2020-08-30 20:12:01+00:00,1,1,,,,Eagle Pass
18,1300164275068194822,Drop it ,2020-08-30 20:11:33+00:00,1,0,,,,Eagle Pass
19,1300163710066012160,My tattoo in Memory of Wes craven #Ghostface #freddykrueger,2020-08-30 20:09:19+00:00,1,0,,#Ghostface #freddykrueger,,Eagle Pass
20,1300163528825827329,No me dolió borrar tu recuerdos.,2020-08-30 20:08:35+00:00,0,1,,,,Eagle Pass
21,1300154759232454657,De automatizado no tiene nada,2020-08-30 19:33:44+00:00,0,2,,,,Eagle Pass
22,1300154637387993090,Acaba de publicar un video en Lic Laura Berlanga https://www.instagram.com/p/CEhnsYtp5bn/?igshid=1kppki2u95162,2020-08-30 19:33:15+00:00,0,0,,,,Eagle Pass
23,1300148404258058241,"It’s quaint now watching @thewestwingTV and seeing how the characters anguish over norms, not stepping over the line and serving the American people. Even when they disagree.",2020-08-30 19:08:29+00:00,1,7,@thewestwingTV,,,Eagle Pass
24,1300147822327521281,"Bueno, pues en un movimiento sorprendente, parece que el United firmará a Donny Van den Beek. Para ser honesto, yo lo veía en el Barça.",2020-08-30 19:06:11+00:00,0,0,,,,Eagle Pass
25,1300142596350767104,@dipypapa es valida la #dipyfest los domingos?? Gracias Perrii !!,2020-08-30 18:45:25+00:00,0,0,@dipypapa,#dipyfest,,Eagle Pass
26,1300141287685918720,"Exacto, le puedo decir por favor termínate tu comida o no te doy ningún dulce y los tiro a la basura,gracias haha Y dice a los 5 minutos ya time termine todo haha ",2020-08-30 18:40:13+00:00,0,1,,,,Eagle Pass
27,1300139564615585792,Exactooooo siempre agrega pro favor y gracias y la sutil amenaza de que perderán sus propiedades ,2020-08-30 18:33:22+00:00,0,1,,,,Eagle Pass
28,1300139405387104257,"Siiii deja tu el pex es que si ya dominaste aceite, temperatura y tiempo de cocción... si te cambia la estructura de la papa (o sea el tipo de papa) es casi volver a empezar pero ya dominando lo anterior es tener una tablita con la info para futuras referencias. Felicidades!!",2020-08-30 18:32:44+00:00,0,0,,,,Eagle Pass
29,1300138882063884295,X2 también la aplicó pero Mi hija dice la maestra dijo que tenemos que decir por favor es la palabra mágica y si no le digo por favor no hace las cosas haha ,2020-08-30 18:30:39+00:00,0,1,,,,Eagle Pass
30,1300138582691262464,O como yo: Por favor recojan todos sus juguetes... o se los tiro a la basura ,2020-08-30 18:29:28+00:00,0,1,,,,Eagle Pass
31,1300138014862118912,On behalf of the entire Maverick Coaching Staff and our trainers we would like to wish all of our Mavericks the very best as we begin the 2020-2021 academic year. Winn the Day and Trust the Process are vital pieces towards daily success and growth. #WTDCulture #InThisTogether,2020-08-30 18:27:12+00:00,9,74,,#WTDCulture #InThisTogether,,Eagle Pass
32,1300136209696645122,"I’m good , the Lakers still have three more teams to go through",2020-08-30 18:20:02+00:00,0,0,,,,Eagle Pass
33,1300135638772183040,The blazers let me down smh,2020-08-30 18:17:46+00:00,0,1,,,,Eagle Pass
34,1300135515228909569,Enseñándole a mi papá como pedir las cosas a mi hija Mi papá: recoge todos esos juguetes o te tiro todo a la basura Yo: dígale por favor y usted no va a tirar nada En el pedir está el dar ,2020-08-30 18:17:16+00:00,0,1,,,,Eagle Pass
35,1300132982263603200,TIENEN QUE VERLAAAAAAA esta buenisimaaaaaaaa,2020-08-30 18:07:12+00:00,0,3,,,,Eagle Pass
36,1300132865590558721,I will bandwagon any NBA team that eliminates the Lakers,2020-08-30 18:06:45+00:00,0,5,,,,Eagle Pass
37,1300130610275590146,Acaba de publicar una foto en Lic Laura Berlanga https://www.instagram.com/p/CEhcz7fJns2/?igshid=pj00tk8gqhe5,2020-08-30 17:57:47+00:00,0,0,,,,Eagle Pass
38,1300130551555293189,Mis amigas están bien loquillas haha ,2020-08-30 17:57:33+00:00,0,0,,,,Eagle Pass
39,1300130484974952449,Pues me dormí muy feliz y me desperté aun más feliz haha ,2020-08-30 17:57:17+00:00,0,0,,,,Eagle Pass
40,1300122070622314496,Seguimos en la cama,2020-08-30 17:23:51+00:00,0,0,,,,Eagle Pass
41,1300121920529203200,Rod wave hitting this morning,2020-08-30 17:23:15+00:00,0,2,,,,Eagle Pass
42,1300121849779630081,"Have a Blessed Sunday everyone! – at Eagle Pass, TX",2020-08-30 17:22:58+00:00,0,7,,,,Eagle Pass
43,1300117004939010049,Pobres es lo menos que somos ,2020-08-30 17:03:43+00:00,0,2,,,,Eagle Pass
44,1300115451343642624,"La ley no depende de nada para aplicarse... sin embargo es verdad, hay delitos que por tiempo “caducan”. No puedes preguntar a las personas si enjuiciar a alguien o no.",2020-08-30 16:57:33+00:00,0,0,,,,Eagle Pass
45,1300114032180027393,Please check your school email and accept all the Google Classroom invitations. Failure to report to class on Monday will result in falling behind on your school work. Thank you for all you do! Together we can do this !,2020-08-30 16:51:54+00:00,2,3,,,,Eagle Pass
46,1300109313730473985,Jajajajaja nos mandaron a la v! Pues Yolo!,2020-08-30 16:33:09+00:00,0,0,,,,Eagle Pass
47,1300108937484591106,Esto se llama arte.,2020-08-30 16:31:40+00:00,0,0,,,,Eagle Pass
48,1300105815655886848,No manches eso no es ni de caballeros... que horror... que bueno que rápidamente identificaste los issues del man...,2020-08-30 16:19:15+00:00,0,1,,,,Eagle Pass
49,1300105366538256385,Y pues aquí sigo acostada viendo tv y esperando a que me diga cuando me toca entrar en la casa con la barbie y el regalo de cumpleaños del perro ,2020-08-30 16:17:28+00:00,0,0,,,,Eagle Pass
50,1300105357356945410,Pero si me salgo del cuarto dice: hey estamos jugando no te salgas hahaha,2020-08-30 16:17:26+00:00,0,0,,,,Eagle Pass
51,1300105347923877888,Mi hija quiere que juguemos con las muñecas pero luego se pone a ver la tv y se olvida que estábamos jugando haha ,2020-08-30 16:17:24+00:00,0,0,,,,Eagle Pass
52,1300102717533294592,Atta boy @AlexBowman88 Back to back top ten. Let’s keep it going.,2020-08-30 16:06:57+00:00,0,0,@AlexBowman88,,,Eagle Pass
53,1300100568623411200,No,2020-08-30 15:58:24+00:00,0,0,,,,Eagle Pass
54,1300099827124940801,Lo siento mucho mi más sentido pésame.,2020-08-30 15:55:28+00:00,0,0,,,,Eagle Pass
55,1300094091678498818, ,2020-08-30 15:32:40+00:00,0,0,,,,Eagle Pass
56,1300089641211703296,Don’t wanna leave but can’t wait to get home. Have a lot of shit to get done ,2020-08-30 15:14:59+00:00,0,0,,,,Eagle Pass
57,1300087745910435845,I miss you too ,2020-08-30 15:07:27+00:00,0,0,,,,Eagle Pass
58,1300085758154256384,"Termina por ser un concurso amañando, una simulación.",2020-08-30 14:59:33+00:00,0,3,,,,Eagle Pass
59,1300084742411427841,No los necesitas si sabes ser líder y organizar un EXCELENTE equipo de trabajo,2020-08-30 14:55:31+00:00,0,3,,,,Eagle Pass
60,1300078377500459010,@LeandroRiosMx buenos días me aventé 2 programas hasta 5 am amigo,2020-08-30 14:30:14+00:00,0,2,@LeandroRiosMx,,,Eagle Pass
61,1300075903481905154,((VIVO)) Noticiero Matutino con Siboney Alvarado y Edmundo Garza Lara / Centro de mensajes: 878 1 22 22 22,2020-08-30 14:20:24+00:00,0,0,,,,Eagle Pass
62,1300066915411521539,I hate seeing a Longhorn cap being misused by such a person.,2020-08-30 13:44:41+00:00,5,73,,,,Eagle Pass
63,1300064398506065921,"A todos mis hermanos en CRISTO OREMOS y demos GRACIA X QUE YA ESTA HECHO . . Gracias Padre por la SANIDAD MUNDIAL, En armonía para todo el MUNDO de acuerdo con la voluntad DIVINA, bajo la gracia de DIOS y de… https://www.instagram.com/p/CEg-s0QppZ_/?igshid=1djfbqn2gl76w",2020-08-30 13:34:41+00:00,0,0,,,,Eagle Pass
64,1300062325483814913,Alguien explíqueme. ¿Por qué LaLiga tiene que sacar un comunicado sobre la supuesta cláusula de rescisión de Messi? ¿No tendría que hacerlo el Barcelona? Está muy turbio este asunto.,2020-08-30 13:26:27+00:00,0,2,,,,Eagle Pass
65,1300059719059595264, ,2020-08-30 13:16:05+00:00,0,1,,,,Eagle Pass
66,1300057096965312512,My goodness. I’ll say it again what more does anyone need to see about this guy,2020-08-30 13:05:40+00:00,11,28,,,,Eagle Pass
67,1300056122242535424,rosacrucesmc rosacruces_sax hermandademprendedores @srfrancoroberto cristianos._ decretos_metafisicos_yo.soy metafisica_universal metafisicaparaserfeliz dios_te_llama_ @nbcuniverso @unionlosangeles A todos mis… https://www.instagram.com/p/CEg674iJg8P/?igshid=nep5rr1i15ft,2020-08-30 13:01:48+00:00,0,0,@srfrancoroberto @NBCUniverso @unionlosangeles,,,Eagle Pass
68,1300044986528882689,#redessociales #piedrasnegrascoahuila #universo #universo #metafisicos #metafísica #metafisicos #cristianos #rosacruces #catolicos #cosmos #hermanosencristo #coahuila decretos_metafisicos_yo.soy @srfrancoroberto… https://www.instagram.com/p/CEg13tfJT0Y/?igshid=137gilegh23fe,2020-08-30 12:17:33+00:00,0,0,@srfrancoroberto,#redessociales #piedrasnegrascoahuila #universo #universo #metafisicos #metaf #metafisicos #cristianos #rosacruces #catolicos #cosmos #hermanosencristo #coahuila,,Eagle Pass
69,1299992190706384897,Buenos días señor sol,2020-08-30 08:47:45+00:00,0,0,,,,Eagle Pass
70,1299975569258565632,Gracias al cielo! Haha ,2020-08-30 07:41:42+00:00,0,0,,,,Eagle Pass
71,1299975483094896641,El si es chido haha ,2020-08-30 07:41:22+00:00,0,1,,,,Eagle Pass
