,id,text,date,retweets,mentions,hashtags,geo,region
0,1236439573653323776,"Until coronavirus crosses species boundaries, @realDonaldTrump and @Mike_Pence are safe.",2020-03-07 23:52:20+00:00,4,@realDonaldTrump @Mike_Pence,,,Dallas_Fort_Worth
0,1238975837728374784,All perreo activities are postponed this weekend due to COVID-19,2020-03-14 23:50:33+00:00,0,,,,Dallas_Fort_Worth
0,1241514103115526146,It’s always nice to have some good food from one of our favorite places even if it’s at home. thelakehousefw #thelakehousefw #supportsmallEML #goawaycoronavirus #covid_19 #fortworthtexas #eaglemountainlake @Lake… https://www.instagram.com/p/B-A9G7RgMFd/?igshid=1uoa4a1v5j2ze,2020-03-21 23:56:43+00:00,0,,#thelakehousefw #supportsmallEML #goawaycoronavirus #covid_19 #fortworthtexas #eaglemountainlake,,Dallas_Fort_Worth
0,1244051359609085954,"Thinking about my @TexasTech family. When you get down, just remember to bunker down, and find the fruit where “corn don’t grow.” We got this! #RaiderPower @KimHaml10 @PennyK19 #Covid_19 #WreckCOVID19",2020-03-28 23:58:52+00:00,0,@TexasTech @KimHaml10 @PennyK19,#RaiderPower #Covid_19 #WreckCOVID19,,Dallas_Fort_Worth
0,1246588032297426945,We could be stuck in #coronavirus quarantine for 2yrs and I couldn’t get my golden doodle to do anything but bite a hole in the ball and then run off and hide it in the woods... ,2020-04-04 23:58:42+00:00,6,,#coronavirus,,Dallas_Fort_Worth
0,1249124669480894464,My dog Leo doesn’t understand that nobody came to his BDay because of social distancing. He thinks he has no friends... Please send him fun pics of his dog friends to cheer him up #Coronavirus #StayHome,2020-04-11 23:58:23+00:00,5,,#Coronavirus #StayHome #StayHome,,Dallas_Fort_Worth
0,1251659983940464645,My hair extensions are slowly but surely coming out after 3 months i need COVID to go away or else ,2020-04-18 23:52:49+00:00,0,,,,Dallas_Fort_Worth
0,1254198017781125120,"And you're Q-ANON, so there's that. My husband is a 30 year resp therapist. Yes the therapies you reference are a thing for very specific needs. There is zero evidence they work against Coronavirus, scientists do not support Trump comments.",2020-04-25 23:58:03+00:00,0,,,,Dallas_Fort_Worth
0,1256731857976274944,that’s above us when they catch that covid ,2020-05-02 23:46:38+00:00,0,,,,Dallas_Fort_Worth
0,1259271617148059649,Really sucks seeing your whole family hanging out and not being able to be apart of it because of covid.,2020-05-09 23:58:44+00:00,0,,,,Dallas_Fort_Worth
0,1261807894363807745,"We are back over a week and going #strong while providing #seamless excellent care and #safetyfirst for our #patients, #staff and ourselves in the #Covid era We maintain and enforce our strict #cdc screening… https://www.instagram.com/p/CAOAVYQjN-h/?igshid=1xrr7k0u9va8r",2020-05-16 23:56:59+00:00,1,,#strong #seamless #safetyfirst #patients #staff #Covid #cdc,,Dallas_Fort_Worth
0,1264344310549491714,There is a vaccination for the flu.. Covid is extremely infectious or are you just downplaying that,2020-05-23 23:55:48+00:00,0,,,,Dallas_Fort_Worth
0,1266880529678438400,"Hey Dallas protesters and outside agitators, COVID-19 is still out there. ",2020-05-30 23:53:50+00:00,0,,,,Dallas_Fort_Worth
0,1269418390487216130,Health Now https://wb.md/2I8yQ4z from @WebMD vaccine for #Covid,2020-06-06 23:58:23+00:00,0,@WebMD,#Covid,,Dallas_Fort_Worth
0,1271948022977449984,"Everyones catching covid, guess you should have stayed inside",2020-06-13 23:30:14+00:00,0,,,,Dallas_Fort_Worth
0,1274491355667054595,Six Trump campaign staffers test positive for COVID-19 ahead of Tulsa rally ,2020-06-20 23:56:32+00:00,0,,,,Dallas_Fort_Worth
0,1277028223528980481,My heart goes out to those that is going through the COVID or knows someone personally that’s been through it ... it really breaks my heart ,2020-06-27 23:57:09+00:00,0,,,,Dallas_Fort_Worth
0,1279563683975356419,BAD COVID-19 TAKES DOESNT NEED TO ADVERTISE! EYYYYYYYY,2020-07-04 23:52:10+00:00,0,,,,Dallas_Fort_Worth
0,1282100515057414145,I wanna go to a pool party but... Covid ,2020-07-11 23:52:37+00:00,0,,,,Dallas_Fort_Worth
0,1284638547706810369,COVID IS A HUGE HOAX and is truly about the Demoncrapic Party stealing the election and the Chinese government shutting down our economy.,2020-07-18 23:57:51+00:00,0,,,,Dallas_Fort_Worth
0,1287173908144193541,Coronavirus with the dance moves ,2020-07-25 23:52:28+00:00,0,,,,Dallas_Fort_Worth
0,1289710969535385601,You know what would make sense? If you stopped scrolling and tried helping out with the Covid Catastrophe that is the state of TX.,2020-08-01 23:53:51+00:00,0,,,,Dallas_Fort_Worth
0,1292248522662776837,Just found out Ozzie’s may have permanently closed because of the coronavirus don’t text ,2020-08-08 23:57:11+00:00,0,,,,Dallas_Fort_Worth
0,1294784763442728963,Can you please focus on the dumpster fire that is your Republican Party or the raging Covid infection rate in Texas and quit the petty . Pretty please.,2020-08-15 23:55:18+00:00,0,,,,Dallas_Fort_Worth
0,1297321407601414144,homegirl really had the mask under her nose while the campus covid instructor was explaining that it goes OVER THE NOSE,2020-08-22 23:55:01+00:00,0,,,,Dallas_Fort_Worth
0,1299858882714574848,So does this mean it’s ok to vote I’m person? I thought that spread Covid. Asking for a friend ,2020-08-29 23:58:02+00:00,0,,,,Dallas_Fort_Worth
0,1302396036883849216,Even with COVID and him being the current true backup to Aaron Jones?,2020-09-05 23:59:47+00:00,0,,,,Dallas_Fort_Worth
