date,user,text,retweets,favorites,mentions,hashtags,geolocation
2020-04-11 23:58:23+00:00,MootePoints,My dog Leo doesn’t understand that nobody came to his BDay because of social distancing. He thinks he has no friends... Please send him fun pics of his dog friends to cheer him up #Coronavirus #StayHome,5,150,,#Coronavirus #StayHome #StayHome,
2020-04-11 23:54:45+00:00,Nancy_McCoy,Check your balance: Coronavirus stimulus money starts to flow into bank accounts ,0,0,,,
2020-04-11 23:52:42+00:00,boyblk_,COVID-19 has gone far enough. ,0,1,,,
2020-04-11 23:46:51+00:00,txsportsdoc,"Also, the gowns and “PPE” used in OR isn’t the same that is used on front lines with COVID, therefore surgeons don’t deplete front line PPE.",0,0,,,
2020-04-11 23:46:30+00:00,JMACTICKETS,"Maybe he should have also said obesity and poor diet, common in people of color, leads to Diabetes and other diseases that lead to a compromised immune system and a higher Mortality Rate for those that contract COVID-19. JMAC",0,0,,,
2020-04-11 23:33:13+00:00,trentodom,"Love that @SamsClub closed the tire center and I cannot get warranty work done. All their competition is still open for business including @costco, @DiscountTire, &amp; @pepboysauto to name a few #CoronavirusPandemic #Covid_19 #StayAtHome",0,1,@SamsClub @Costco @DiscountTire @pepboysauto,#CoronavirusPandemic #Covid_19 #StayAtHome #StayAtHome,
2020-04-11 23:30:18+00:00,icowrich,COVID-19 is concise and won’t repeat (there will never again be an epidemic of coronavirus in 2019).,0,2,,,
2020-04-11 23:03:28+00:00,McLaneC4,"COVID 19, you left me no choice but to lift weights more frequently, possibly even the entire day.. #dedication",0,14,,#dedication,
2020-04-11 22:47:16+00:00,AdamPatterson79,"The irony in this! #coronavirus #memes #agenda #dankmemes @Dallas, Texas https://www.instagram.com/p/B-2520JpTE7/?igshid=1xse65309wppe",0,0,,#coronavirus #memes #agenda #dankmemes,
2020-04-11 22:41:59+00:00,cnote_vegas,Has anyone got their Coronavirus money from Trump yet via direct deposit?,1,3,,,
2020-04-11 22:34:32+00:00,JessicaMauerhan,"If @Dreamworks is really tryna get $20 for a one night rental they better be passing that on to everyone who is losing income from COVID-19 right now. $20 is what it costs to buy a DVD, this is absurd.",0,0,@Dreamworks,,
2020-04-11 22:29:21+00:00,DallasAnalytics,"Bet that a good few of these are non-COVID diagnoses, the result of people scared to go to hospitals because of COVID-19 ",5,13,,,
2020-04-11 22:05:08+00:00,ConstanceJackso,Why Does the Trump Administration Keep Seizing Hospitals’ Coronavirus Supplies? https://www.gq.com/story/trump-admin-confiscating-coronavirus-supplies?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=onsite-share&amp;utm_brand=gq&amp;utm_social-type=earned via @gqmagazine,0,0,@GQMagazine,,
2020-04-11 21:58:21+00:00,rewopthemogul,"Over 20,000 people in the U.S. have died from Coronavirus; being in confinement is annoying and boring but I’m lucky to be alive &amp; well.",2,10,,,
2020-04-11 21:53:48+00:00,txsportsdoc,This is so true. With the internet everyone is now a COVID-19 expert ,0,1,,,
2020-04-11 21:36:02+00:00,kjordan59,"Working with a national distributor @SLR_Medical out of Dallas, TX to help those in need of mask. We are getting weekly shipments in. Feel free to share with those who may be in need. #staysafe #coronavirus #COVID19 #KN95 #N95",1,1,@SLR_Medical,#staysafe #coronavirus #COVID19 #KN95 #N95,
2020-04-11 21:35:45+00:00,holyralphgxd,Dick!!!! We all thought thanks COVID-19 ,0,1,,,
